"","PecFinLengths"
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 022",25.9255226250856
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\SQ FN9 06-20 024",26.6112980115897
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 001",43.1824716388462
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 003",44.2597409312843
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 004",34.3179745945623
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 006",44.3567196889202
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 007",45.0187927908397
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 008",36.8731693880342
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 010",28.28866892197
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 012",21.2943423819613
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 013",47.0596916255295
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO FN1 06-05 014",34.5199720557529
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 002",27.9204540075506
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 006",24.7234082407856
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 008",33.4359921463543
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 010",22.6338495279212
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 012",28.7522043913747
"C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\TO shock 07-18 013",22.0874435135575
