"fishID","imageFile","pecFinBaseWidth","pecFinLength","lakeID","DOC","stdLength","finLengthSS","finBaseSS","finRatioSS"
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_2","HB AN 07-10 002.jpg",10.18667146,46.4736541623316,"Hummingbird",24.5,178.387462944233,34.356819077965,7.25204998450078,4.73753202906668
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_3","HB AN 07-10 003.jpg",10.24358902,46.4525265448501,"Hummingbird",24.5,170.937615732816,35.4839916729235,7.56610601843801,4.68986181087758
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_4","HB AN 07-10 004.jpg",9.709083393,46.2076009266874,"Hummingbird",24.5,174.581648285551,34.7301472507929,7.04191858953407,4.93191547292381
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_7","HB AN 07-10 007.jpg",8.950402036,37.4541250824258,"Hummingbird",24.5,159.0741235191,30.233906762175,7.03439568464141,4.29801053531668
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_8","HB AN 07-10 008.jpg",8.251625442,43.7197001550788,"Hummingbird",24.5,164.551079356229,34.3866912172384,6.29845513238992,5.45954372849371
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_9","HB AN 07-10 009.jpg",9.00872489,43.7481899590143,"Hummingbird",24.5,167.052683448815,34.0129952620958,6.7873728720559,5.01121654920856
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_10","HB AN 07-10 010.jpg",8.183322526,41.3348565750506,"Hummingbird",24.5,152.834661586958,34.4069618029964,6.6575419277802,5.16811792944556
"HB_WholeShoreline_20180710_0850_AN_blgMorphologyDOC.20180626_11","HB AN 07-10 011.jpg",8.815202742,40.1624921637092,"Hummingbird",24.5,166.632389030014,31.2856356843448,6.65602636806467,4.70034731750042
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_1","HB AN 07-24 001.jpg",8.757891157,43.4028742211849,"Hummingbird",24.5,161.727669470162,34.5939092738212,6.78550316894538,5.0982084028999
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_2","HB AN 07-24 002.jpg",7.585866053,37.0259089795241,"Hummingbird",24.5,153.411653951876,30.7312204790873,6.15144055142967,4.99577622869899
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_3","HB AN 07-24 003.jpg",7.094431737,37.9259205142077,"Hummingbird",24.5,137.554672202292,34.2271677973637,6.32104872880202,5.41479258677547
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_4","HB AN 07-24 004.jpg",6.498985116,42.9363936643496,"Hummingbird",24.5,158.078554310254,34.8267141826355,5.13550685700783,6.78155343812101
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_5","HB AN 07-24 005.jpg",8.505612823,41.1862998702238,"Hummingbird",24.5,150.976170918493,34.6066932362379,6.99320558447124,4.94861659910068
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_6","HB AN 07-24 006.jpg",8.045653848,38.0932968309386,"Hummingbird",24.5,149.416892076699,32.2638193641697,6.67457837717296,4.83383631758852
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_7","HB AN 07-24 007.jpg",8.101485907,40.6212721881036,"Hummingbird",24.5,154.573079080058,33.5207744087327,6.52693074884171,5.13576376073569
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_8","HB AN 07-24 008.jpg",8.872757703,39.1735786775985,"Hummingbird",24.5,154.199137092689,32.3862742104001,7.16326360430553,4.5211618613245
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_9","HB AN 07-24 009.jpg",9.8930487,39.5977835187779,"Hummingbird",24.5,156.338762131501,32.3926188628019,7.89253630209528,4.10420904294129
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_10","HB AN 07-24 010.jpg",8.202459542,41.9670320761428,"Hummingbird",24.5,145.867154794662,36.2066709472806,6.9473636655665,5.21156984004353
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_11","HB AN 07-24 011.jpg",6.46816954,40.1251684917335,"Hummingbird",24.5,152.991468080707,33.3737497423237,5.25752346272358,6.34780804668724
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_12","HB AN 07-24 012.jpg",6.981809647,34.0396085983667,"Hummingbird",24.5,128.518521103536,32.3641703336967,6.59646895769103,4.90628706680448
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_13","HB AN 07-24 013.jpg",5.708862455,38.4124783267104,"Hummingbird",24.5,143.646660458954,33.5324227571808,4.89977315216399,6.84366841398998
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_14","HB AN 07-24 014.jpg",7.787571631,34.05675168333,"Hummingbird",24.5,130.263376769144,32.0471119824505,7.27260980724561,4.40654906998068
"HB_WholeShoreline_20180724_1945_AN_blgMorphologyDOC.20180626_15","HB AN 07-24 015.jpg",8.041525286,36.7968071886679,"Hummingbird",24.5,148.095174992739,31.3789574514022,6.72251436417791,4.66774122768862
"HB_FN3_20180708_1427_FN_blgMorphologyDOC.20180626_1","HB FN3 07-08 001.jpg",7.039506079,39.7295693675378,"Hummingbird",24.5,144.506794218992,34.5236616769834,6.01077675598956,5.74362733445085
"HB_FN9_20180708_1445_FN_blgMorphologyDOC.20180626_2","HB FN9 07-08 002.jpg",6.872966984,32.984665674219,"Hummingbird",24.5,123.417328761767,32.3511624424401,6.7246652994317,4.81082120848068
"LC_WholeShoreline_20180717_2205_BE_blgMorphologyDOC.20180626_1","LC shock 07-17 001.jpg",4.701001423,21.6852858125043,"Little_Crooked",NA,79.7599523829472,29.7324998407044,6.70451516668429,4.43469797614144
"LC_WholeShoreline_20180717_2205_BE_blgMorphologyDOC.20180626_4","LC shock 07-17 004.jpg",4.886787745,28.9542429348446,"Little_Crooked",NA,100.932218421127,33.137352561945,5.68781054577976,5.82602959350188
"LC_WholeShoreline_20180717_2205_BE_blgMorphologyDOC.20180626_6","LC shock 07-17 006.jpg",5.296506751,29.2177111391361,"Little_Crooked",NA,99.3435606674635,33.8484749129636,6.24969093783308,5.41602380816286
