"","fishID","X13","X14","Y13","Y14","fishStdLength","lakeID","captureMethod","basin","DOC","DOClevel","X","Y","hyp_dist","opp_dist","sinAngle","ang_deg"
"82","CR FN9 004.jpg",86.4395,83.8154,60.2505,64.4491,80.6129055435295,"CR","Fyke_Net",4,5,"low",-2.6241,4.1986,4.95117589770349,2.6241,0.529995309037018,32.0051378788685
"83","CR FN9 005.jpg",98.1432,97.5659,63.137,66.7059,61.7396415449588,"CR","Fyke_Net",4,5,"low",-0.577299999999994,3.5689,3.61529009901003,0.577299999999994,0.159682897966632,9.18849097126227
"84","CR FN9 006.jpg",92.9474,91.3729,62.5073,65.9711,68.9114885196946,"CR","Fyke_Net",4,5,"low",-1.5745,3.46380000000001,3.80486014066221,1.5745,0.413812845096054,24.4445779087677
"85","CR FN9 007.jpg",92.2126,90.953,64.7115,68.0705,64.6708259515061,"CR","Fyke_Net",4,5,"low",-1.25959999999999,3.35899999999999,3.58740479455552,1.25959999999999,0.351117331925196,20.5556713580234
"86","CR FN9 008.jpg",90.0083,89.1161,63.6094,67.1782,65.1208522607774,"CR","Fyke_Net",4,5,"low",-0.892200000000003,3.5688,3.67863483917608,0.892200000000003,0.242535625036333,14.0362434679265
"87","CR FN9 009.jpg",91.8977,89.7459,61.72,65.9711,69.5409129796985,"CR","Fyke_Net",4,5,"low",-2.15179999999999,4.25110000000001,4.76467149444744,2.15179999999999,0.45161560508581,26.8473868329178
"88","CR FN9 010.jpg",80.3515,75.2606,57.6263,63.137,119.996875415654,"CR","Fyke_Net",4,5,"low",-5.0909,5.5107,7.50233812221231,5.0909,0.678575121124878,42.7323980729699
"89","CR FN9 011.jpg",80.299,78.4096,58.3611,63.7668,88.3045924579803,"CR","Fyke_Net",4,5,"low",-1.88940000000001,5.4057,5.72637973330446,1.88940000000001,0.329946683244094,19.2655394145345
"90","FD Electro 001.jpg",84.6551,82.5033,56.5242,60.6703,72.2010369278032,"FD","Electrofishing",7,6.21,"low",-2.15180000000001,4.1461,4.67122986482147,2.15180000000001,0.460649563877167,27.4290306181743
"91","FD Electro 002.jpg",87.0168,82.9231,58.9384,65.4463,102.920826975156,"FD","Electrofishing",7,6.21,"low",-4.0937,6.50789999999999,7.68837707842168,4.0937,0.532453072767391,32.1713493940045
"92","FD Electro 003.jpg",82.0834,79.4068,55.3696,62.8222,115.461007454118,"FD","Electrofishing",7,6.21,"low",-2.67659999999999,7.4526,7.91867629847312,2.67659999999999,0.338011038602007,19.7557420390814
"93","FD Electro 004.jpg",79.0919,76.9926,60.1455,67.0208,106.006614571167,"FD","Electrofishing",7,6.21,"low",-2.0993,6.8753,7.18865846872697,2.0993,0.292029452940719,16.9794955423632
"94","FD Electro 005.jpg",80.3515,77.7273,59.3058,65.8662,117.113827405008,"FD","Electrofishing",7,6.21,"low",-2.6242,6.56040000000001,7.06578189586971,2.6242,0.371395556595651,21.8017106436564
"95","FD Electro 006.jpg",80.299,79.1444,57.7313,62.6647,73.8528463842119,"FD","Electrofishing",7,6.21,"low",-1.1546,4.93340000000001,5.06670866736978,1.1546,0.227879689913053,13.1722722979928
"96","FD Electro 007.jpg",82.0309,80.2465,51.4333,59.0434,110.850488179935,"FD","Electrofishing",7,6.21,"low",-1.78440000000001,7.6101,7.81650211859499,1.78440000000001,0.228286255530466,13.1961974176747
"97","FD Electro 008.jpg",84.7076,83.343,57.6788,65.6562,117.905832390514,"FD","Electrofishing",7,6.21,"low",-1.3646,7.9774,8.09327152145533,1.3646,0.168609195475826,9.70696458677559
"98","FD Electro 009.jpg",77.2025,75.2606,61.9824,68.6478,96.1554843961071,"FD","Electrofishing",7,6.21,"low",-1.9419,6.66540000000001,6.94251631398876,1.9419,0.279711262051656,16.2429726869502
"99","FD Electro 010.jpg",76.5727,75.9429,59.2533,66.0761,99.7368107595185,"FD","Electrofishing",7,6.21,"low",-0.629800000000003,6.82279999999999,6.85180617647638,0.629800000000003,0.0919173694904319,5.27392157809903
"100","FD Electro 011.jpg",75.1032,73.1613,56.5767,64.2392,105.026995089072,"FD","Electrofishing",7,6.21,"low",-1.9419,7.66249999999999,7.9047379374651,1.9419,0.245662793044185,14.2210061099848
"101","FD Electro 012.jpg",85.7047,84.6026,61.9824,66.7584,69.8789473636373,"FD","Electrofishing",7,6.21,"low",-1.10210000000001,4.776,4.90151001325102,1.10210000000001,0.224849076513264,12.994003480884
"102","FD Electro 013.jpg",91.9502,90.4282,56.7341,61.1427,69.0065987176589,"FD","Electrofishing",7,6.21,"low",-1.52199999999999,4.4086,4.66392945486957,1.52199999999999,0.326334267001162,19.0464307590218
"103","FD Electro 014.jpg",78.3571,76.5202,52.2731,59.5157,104.05519217324,"FD","Electrofishing",7,6.21,"low",-1.8369,7.2426,7.47191115913459,1.8369,0.245840717438716,14.2315229488961
"104","FD Electro 015.jpg",81.6111,78.8295,63.7668,70.0123,102.080792607522,"FD","Electrofishing",7,6.21,"low",-2.7816,6.24549999999999,6.83692685422331,2.7816,0.406849460190106,24.0070758627084
"105","FD Electro 016.jpg",82.8182,81.1387,60.7753,64.974,68.2850387825913,"FD","Electrofishing",7,6.21,"low",-1.6795,4.1987,4.52214572299479,1.6795,0.371394489005489,21.8016447631387
"106","FD Electro 017.jpg",80.3515,79.7217,52.1681,59.7257,114.907727563859,"FD","Electrofishing",7,6.21,"low",-0.629800000000003,7.5576,7.58379626572339,0.629800000000003,0.0830454798537404,4.7636416907262
"107","FD Electro 018.jpg",83.343,81.7685,55.0547,62.1399,109.724682625743,"FD","Electrofishing",7,6.21,"low",-1.5745,7.0852,7.25803756465892,1.5745,0.216931916647361,12.528893332845
"108","FD Electro 019.jpg",86.9118,86.2296,62.5073,67.5981,74.3267347287637,"FD","Electrofishing",7,6.21,"low",-0.682199999999995,5.0908,5.1363062097192,0.682199999999995,0.132819184087798,7.63253271683959
"109","FD Electro 020.jpg",85.3898,83.1331,58.3611,63.3995,77.7522974787241,"FD","Electrofishing",7,6.21,"low",-2.2567,5.0384,5.52070370967325,2.2567,0.408770352237135,24.1276136295993
"110","FD Electro 021.jpg",95.7815,94.3644,57.154,61.9824,77.4037500056037,"FD","Electrofishing",7,6.21,"low",-1.41709999999999,4.82839999999999,5.03205911829342,1.41709999999999,0.281614338521641,16.3565771266535
"111","FD Electro 022.jpg",91.5304,90.6381,51.3809,56.2618,77.1012187431561,"FD","Electrofishing",7,6.21,"low",-0.892300000000006,4.8809,4.9617924281453,0.892300000000006,0.179834205666992,10.3601029064738
"112","FD Electro 023.jpg",83.2905,82.2933,59.9881,64.4491,77.7881972842282,"FD","Electrofishing",7,6.21,"low",-0.997199999999992,4.461,4.57109711557302,0.997199999999992,0.218153317417538,12.6005915608441
"113","FD Electro 024.jpg",80.0366,79.6692,59.7781,65.4463,82.8828423114217,"FD","Electrofishing",7,6.21,"low",-0.367400000000004,5.66819999999999,5.68009454146671,0.367400000000004,0.0646820219835872,3.7085959237299
"114","FD Electro 025.jpg",87.1743,85.4423,61.5101,65.4988,71.6140080792159,"FD","Electrofishing",7,6.21,"low",-1.732,3.9887,4.34851143381273,1.732,0.398297216498613,23.4717723340959
"115","FD Electro 026.jpg",89.1161,86.1771,62.0874,66.2335,83.3443516090923,"FD","Electrofishing",7,6.21,"low",-2.93900000000001,4.1461,5.08211237675832,2.93900000000001,0.578302835931125,35.3312614838901
"116","FD Electro 027.jpg",83.9203,82.9231,59.2008,64.7115,79.0215830462159,"FD","Electrofishing",7,6.21,"low",-0.997199999999992,5.5107,5.60019841880625,0.997199999999992,0.178065119380638,10.257078721036
"117","FD Electro 028.jpg",86.7019,84.1827,59.2008,64.5541,78.8307294479761,"FD","Electrofishing",7,6.21,"low",-2.5192,5.3533,5.91643385241482,2.5192,0.425797036329879,25.201123645475
"118","FD Electro 029.jpg",93.3148,92.5275,61.1952,64.764,56.1119530411302,"FD","Electrofishing",7,6.21,"low",-0.787300000000002,3.5688,3.65461006538317,0.787300000000002,0.215426539607436,12.4405526413077
"119","FD Electro 030.jpg",88.8537,86.2296,60.8278,64.9215,67.2185272108814,"FD","Electrofishing",7,6.21,"low",-2.6241,4.09369999999999,4.8625384831382,2.6241,0.539656397393991,32.6602513919083
"120","HB AN 001 07-24.jpg",63.137,55.5795,46.8673,55.6845,161.727669470162,"HB","Angling",4,24.5,"high",-7.5575,8.8172,11.612873119517,7.5575,0.650786409376902,40.6009200417651
"121","HB AN 001.jpg",61.4576,56.6816,42.9311,55.1072,180.237789118292,"HB","Angling",4,24.5,"high",-4.776,12.1761,13.0792808368809,4.776,0.36515769173888,21.4172876428241
"122","HB AN 002 07-24.jpg",60.4079,58.781,50.2262,61.0377,153.411653951876,"HB","Angling",4,24.5,"high",-1.6269,10.8115,10.9332216596939,1.6269,0.148803349153496,8.55758526519995
"123","HB AN 002.jpg",66.6009,61.825,40.6743,53.1128,178.387462944233,"HB","Angling",4,24.5,"high",-4.77589999999999,12.4385,13.3238696728841,4.77589999999999,0.358446916493008,21.004846445102
"124","HB AN 003 07-24.jpg",66.496,63.8193,51.8532,61.3001,137.554672202292,"HB","Angling",4,24.5,"high",-2.6767,9.4469,9.81879027681109,2.6767,0.272609957493595,15.819633735662
"125","HB AN 003.jpg",65.9186,61.5101,37.3154,49.1766,170.937615732816,"HB","Angling",4,24.5,"high",-4.4085,11.8612,12.653969246446,4.4085,0.348388708249642,20.3887929425855
"126","HB AN 004 07-24.jpg",67.808,65.7087,49.439,60.5129,158.078554310254,"HB","Angling",4,24.5,"high",-2.09930000000001,11.0739,11.2711277918405,2.09930000000001,0.186254653373707,10.7342902129502
"127","HB AN 004.jpg",66.0236,58.1512,44.663,56.2093,174.581648285551,"HB","Angling",4,24.5,"high",-7.8724,11.5463,13.9746815867125,7.8724,0.563333049926899,34.2866152152604
"128","HB AN 005 07-24.jpg",72.4265,70.9045,54.3199,63.8718,150.976170918493,"HB","Angling",4,24.5,"high",-1.52200000000001,9.5519,9.67239771773267,1.52200000000001,0.157354985228707,9.05340330599169
