fishID,lakeID,fishStdLength,DOC,DOClevel,captureMethod, X13, Y13, X14, Y14,basin,X,Y,hyp_dist,opp_dist,sinAngle,ang_deg,fitted
HB AN 005 07-24.jpg,HB,150.9761778,24.5,high,Angling,72.4265,54.3199,70.9045,63.8718,4,-1.522,9.5519,9.672397718,1.522,0.158011696,9.053403306,2.922681
HB AN 005.jpg,HB,169.6128442,24.5,high,Angling,62.8222,39.992,60.5654,50.2787,4,-2.2568,10.2867,10.53135049,2.2568,0.215968474,12.37408206,2.922681
HB AN 006 07-24.jpg,HB,149.4165939,24.5,high,Angling,79.1968,45.0829,74.1585,53.3752,4,-5.0383,8.2923,9.702922559,5.0383,0.545980065,31.28235345,2.922681
HB AN 006.jpg,HB,169.2879497,24.5,high,Angling,68.7527,41.6715,65.2889,52.0631,4,-3.4638,10.3916,10.9536871,3.4638,0.32174478,18.434618,2.922681
HB AN 007 07-24.jpg,HB,154.5728332,24.5,high,Angling,70.9045,49.1766,67.9655,59.7781,4,-2.939,10.6015,11.00134188,2.939,0.270433523,15.49469953,2.922681
HB AN 007.jpg,HB,159.0739038,24.5,high,Angling,61.9299,51.3809,57.9412,61.9824,4,-3.9887,10.6015,11.32702653,3.9887,0.359856659,20.61826781,2.922681
HB AN 008 07-24.jpg,HB,154.1996091,24.5,high,Angling,59.3583,46.185,57.6788,55.1596,4,-1.6795,8.9746,9.130397878,1.6795,0.184999438,10.59968704,2.922681
HB AN 008.jpg,HB,164.5510874,24.5,high,Angling,65.1839,45.6077,59.6732,55.9469,4,-5.5107,10.3392,11.71609453,5.5107,0.489690725,28.05721179,2.922681
HB AN 009 07-24.jpg,HB,156.3387879,24.5,high,Angling,61.9824,41.4091,60.5654,51.6433,4,-1.417,10.2342,10.33183133,1.417,0.137582607,7.882902689,2.922681
HB AN 009.jpg,HB,167.0523914,24.5,high,Angling,66.8633,44.5056,65.4988,56.7866,4,-1.3645,12.281,12.35656996,1.3645,0.110652753,6.339935718,2.922681
HB AN 010 07-24.jpg,HB,145.8669131,24.5,high,Angling,68.8052,54.6348,64.5016,64.4491,4,-4.3036,9.8143,10.71641066,4.3036,0.413251994,23.67759515,2.922681
HB AN 010.jpg,HB,152.834425,24.5,high,Angling,65.5513,45.1879,60.9852,53.7426,4,-4.5661,8.5547,9.697018165,4.5661,0.490284292,28.09122067,2.922681
HB AN 011 07-24.jpg,HB,152.9914648,24.5,high,Angling,61.3001,47.917,59.4108,57.7838,4,-1.8893,9.8668,10.04605379,1.8893,0.189190494,10.83981681,2.922681
HB AN 011.jpg,HB,166.6326324,24.5,high,Angling,61.3001,39.2048,59.4108,49.7539,4,-1.8893,10.5491,10.71694757,1.8893,0.177217023,10.15378745,2.922681
HB AN 012 07-24.jpg,HB,128.518619,24.5,high,Angling,72.7414,47.812,69.33,56.1043,4,-3.4114,8.2923,8.966598533,3.4114,0.390289783,22.36195738,2.922681
HB AN 012.jpg,HB,159.9961535,24.5,high,Angling,65.2364,47.4446,60.9852,58.3611,4,-4.2512,10.9165,11.71506183,4.2512,0.371360228,21.27737374,2.922681
