imageID,fishID,lakeID,basin,DOC,DOCbin,PecFinLengths,baseWidth,fishStdLength,finLengthSS,finBaseSS,lakeSlope,bylake_finlengthSS,bylake_finwidthSS,ss_ratio,fitted_PL,fitted_PW,fitted_PR
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB AN 07-24 015,HB AN 07-24 015.jpg,Hummingbird,4,24.5,high,36.79675956,8.041525286,156.1939976,31.10366576,6.721147749,-0.00158,36.811714,17.36601725,4.627731293,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB FN3 07-08 001,HB FN3 07-08 001.jpg,Hummingbird,4,24.5,high,39.72966237,7.039506079,155.971214,33.61414226,5.889519724,-0.00158,39.74571913,15.22277637,5.707450494,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\HB FN9 07-08 002,HB FN9 07-08 002.jpg,Hummingbird,4,24.5,high,32.98467332,6.872966984,133.266722,30.92965097,6.417578955,-0.00158,32.98980299,15.87536316,4.819520132,34.71678,1.898827,1.618025
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 001,LC shock 07-17 001.jpg,Little_Crooked,7,4.07,low,21.68525585,4.701001423,80.90418387,28.177045,6.218839635,-0.01456,21.55911884,8.585907366,4.530916803,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 004,LC shock 07-17 004.jpg,Little_Crooked,7,4.07,low,28.95431754,4.886787745,102.0650888,32.3215376,5.496799528,-0.01456,28.88344449,11.85098619,5.880064834,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 006,LC shock 07-17 006.jpg,Little_Crooked,7,4.07,low,29.21770228,5.296506751,100.7690124,32.88912766,6.011045326,-0.01456,29.14076168,12.40606282,5.471448954,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 008,LC shock 07-17 008.jpg,Little_Crooked,7,4.07,low,36.59455073,6.169733141,115.5990045,37.65741524,6.362197438,-0.01456,36.57121843,10.68034326,5.918932194,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 012,LC shock 07-17 012.jpg,Little_Crooked,7,4.07,low,28.57566872,5.418444996,60.8711235,44.71834993,8.742553316,-0.01456,28.29201175,10.81911522,5.115021701,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 013,LC shock 07-17 013.jpg,Little_Crooked,7,4.07,low,29.92944315,6.686758804,92.75375058,35.56571707,8.040832317,-0.01456,29.81462708,14.01533024,4.423138758,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 017,LC shock 07-17 017.jpg,Little_Crooked,7,4.07,low,28.91290458,5.276425624,89.34201543,35.20971091,6.513068273,-0.01456,28.78627653,11.37535976,5.4060098,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 019,LC shock 07-17 019.jpg,Little_Crooked,7,4.07,low,32.15865342,6.640928051,65.90670552,47.77779537,10.13674758,-0.01456,31.8762973,14.52475905,4.713325944,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 021,LC shock 07-17 021.jpg,Little_Crooked,7,4.07,low,23.08547564,4.521672713,108.1047527,24.81982575,4.886053101,-0.01456,23.04825263,10.54870419,5.079729024,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 026,LC shock 07-17 026.jpg,Little_Crooked,7,4.07,low,28.26242651,5.365438017,98.32794403,32.32783339,6.194401983,-0.01456,28.17793877,11.93852383,5.218878832,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-17 029,LC shock 07-17 029.jpg,Little_Crooked,7,4.07,low,31.3580024,5.882449885,65.92641865,46.57917046,8.977128385,-0.01456,31.08281142,11.62660421,5.18864925,34.25642,1.855048,1.653639
C:\Users\Chelsea\Documents\MCGILL\Pectoral Fin Photos\LC shock 07-18 001,LC shock 07-18 001.jpg,Little_Crooked,7,4.07,low,28.69707184,5.793675615,106.148379,31.22349075,6.340877543,-0.01456,28.64318329,13.08826928,4.924159241,34.25642,1.855048,1.653639
