1,218,10,0,
, X1, Y1, X2, Y2, X3, Y3, X4, Y4, X5, Y5
PS FN 06-14 018.jpg,33.75590,71.90050 ,41.01530,69.62370 ,60.48350,61.37440 ,35.27380,62.69430 ,30.58820,67.57790 
PS FN 06-14 019.jpg,32.37010,68.63380 ,41.97220,69.65670 ,61.90240,65.13610 ,37.55060,61.63840 ,32.20510,63.55220 
PS FN 06-14 024.jpg,34.64690,71.37250 ,42.30220,68.63380 ,58.63570,58.93260 ,39.62940,58.47070 ,32.46900,66.78590 
PS FN 06-14 027.jpg,30.62120,65.86200 ,47.74670,68.20480 ,54.74200,66.81890 ,37.68260,57.41480 ,30.78620,60.31850 
RS FN4 002.jpg,29.56530,64.97110 ,55.46800,65.89500 ,67.54490,64.01420 ,38.27650,57.94270 ,28.87240,58.40470 
RS FN4 07-19 001.jpg,32.17210,76.58600 ,45.04090,68.53480 ,69.26070,51.44230 ,33.82190,64.50910 ,27.09050,69.95360 
RS FN4 07-19 007.jpg,29.00440,71.27350 ,42.96210,68.76570 ,69.42570,61.30840 ,39.92640,58.66870 ,26.95850,64.44310 
RS FN4 07-19 008.jpg,27.25550,66.19200 ,52.03630,68.89770 ,65.99400,68.03980 ,43.49000,57.64580 ,26.33160,59.42760 
RS FN4 07-19 009.jpg,27.68450,64.97110 ,39.69540,69.35970 ,67.67680,69.19470 ,48.60460,58.50370 ,27.28850,58.04170 
RS FN4 07-19 010.jpg,25.37470,69.19470 ,49.59450,67.70980 ,64.08020,65.00410 ,39.10140,60.05450 ,22.96590,62.92530 
RS FN4 07-19 011.jpg,28.27840,68.20480 ,43.32510,68.40280 ,70.41560,65.43310 ,42.66510,57.54680 ,27.45350,60.87950 
RS FN4 07-19 012.jpg,23.46090,72.56040 ,37.25360,69.62370 ,65.23510,62.49630 ,37.02260,59.55960 ,22.86690,65.59800 
RS FN4 07-19 013.jpg,29.53230,71.60350 ,41.01530,70.81160 ,64.08020,64.31120 ,32.73300,64.50910 ,28.93840,65.63100 
RS FN4(2) 07-20 002.jpg,26.52960,68.99670 ,38.93650,68.66680 ,65.53200,62.29830 ,30.35720,59.72460 ,23.88980,62.33130 
