imageID	lakeID	lakeDOC	DOCrange	DOC	captureMethod	Sex	Basin
OB_Electro_006.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	M	4
OB_Electro_007.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	U	4
OB_Electro_008.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	M	4
OB_Electro_009.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	U	4
OB_Electro_010.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	M	4
OB_Electro_011.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	U	4
OB_Electro_012.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	M	4
OB_Electro_013.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	U	4
OB_Electro_014.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	M	4
OB_Electro_015.jpg	Oxbow	11.12	10.0-15.0	high	Electrofishing	U	4
OB_FN_001.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	F	4
OB_FN_002.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	F	4
OB_FN_003.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
OB_FN_004.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	F	4
OB_FN_005.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
OB_FN_006.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
OB_FN_007.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	F	4
OB_FN_008.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
OB_FN_009.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	F	4
OB_FN_010.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
OB_FN_011.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
OB_FN_012.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	F	4
OB_FN_013.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
OB_FN_014.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
OB_FN_015.jpg	Oxbow	11.12	10.0-15.0	high	Fyke_Net	M	4
PP_FN_001.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	F	7
PP_FN_002.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	M	7
PP_FN_003.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	M	7
PP_FN_004.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	U	7
PP_FN_005.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	F	7
PP_FN_006.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	U	7
PP_FN_007.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	M	7
PP_FN_008.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	F	7
PP_FN_009.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	U	7
PP_FN_010.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	M	7
PP_FN_011.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	U	7
PP_FN_012.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	F	7
PP_FN_013.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	F	7
PP_FN_014.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	M	7
PP_FN_015.jpg	Papoose	6.485	5.0-10.0	low	Fyke_Net	U	7
